Name,Team,Number,Position,Age,Height,Weight,College,Salary,TF,Rank
Avery Bradley,Boston Celtics,0.0,PG,25.0,6-2,180.0,Texas,7730337.0,True,350.0
Jae Crowder,Boston Celtics,99.0,SF,25.0,6-6,200.0,Marquette,6796117.0,True,337.0
John Holland,Boston Celtics,30.0,SG,27.0,6-5,200.0,Boston University,,True,
R.J. Hunter,Boston Celtics,28.0,SG,22.0,6-5,185.0,Georgia State,1148640.0,True,125.0
Jonas Jerebko,Boston Celtics,8.0,PF,29.0,6-10,200.0,,5000000.0,True,300.0
Amir Johnson,Boston Celtics,90.0,PF,29.0,6-9,200.0,,12000000.0,True,390.0
Jordan Mickey,Boston Celtics,55.0,PF,21.0,6-8,200.0,LSU,1170960.0,True,131.0
Kelly Olynyk,Boston Celtics,41.0,C,25.0,7-0,200.0,Gonzaga,2165160.0,True,194.0
Terry Rozier,Boston Celtics,12.0,PG,22.0,6-2,190.0,Louisville,1824360.0,True,175.0
Marcus Smart,Boston Celtics,36.0,PG,22.0,6-4,200.0,Oklahoma State,3431040.0,True,257.0
Jared Sullinger,Boston Celtics,7.0,C,24.0,6-9,200.0,Ohio State,2569260.0,True,214.0
Isaiah Thomas,Boston Celtics,4.0,PG,27.0,5-9,185.0,Washington,6912869.0,True,338.0
Evan Turner,Boston Celtics,11.0,SG,27.0,6-7,200.0,Ohio State,3425510.0,True,255.5
James Young,Boston Celtics,13.0,SG,20.0,6-6,200.0,Kentucky,1749840.0,True,173.0
Tyler Zeller,Boston Celtics,44.0,C,26.0,7-0,200.0,North Carolina,2616975.0,True,216.0
Bojan Bogdanovic,Brooklyn Nets,44.0,SG,27.0,6-8,200.0,,3425510.0,False,255.5
Markel Brown,Brooklyn Nets,22.0,SG,24.0,6-3,190.0,Oklahoma State,845059.0,False,53.5
Wayne Ellington,Brooklyn Nets,21.0,SG,28.0,6-4,200.0,North Carolina,1500000.0,False,158.5
Rondae Hollis-Jefferson,Brooklyn Nets,24.0,SG,21.0,6-7,200.0,Arizona,1335480.0,False,147.0
Jarrett Jack,Brooklyn Nets,2.0,PG,32.0,6-3,200.0,Georgia Tech,6300000.0,False,331.0
Sergey Karasev,Brooklyn Nets,10.0,SG,22.0,6-7,200.0,,1599840.0,False,165.0
Sean Kilpatrick,Brooklyn Nets,6.0,SG,26.0,6-4,200.0,Cincinnati,134215.0,False,8.0
Shane Larkin,Brooklyn Nets,0.0,PG,23.0,5-11,175.0,Miami (FL),1500000.0,False,158.5
Brook Lopez,Brooklyn Nets,11.0,C,28.0,7-0,200.0,Stanford,19689000.0,False,435.5
Chris McCullough,Brooklyn Nets,1.0,PF,21.0,6-11,200.0,Syracuse,1140240.0,False,121.5
Willie Reed,Brooklyn Nets,33.0,PF,26.0,6-10,200.0,Saint Louis,947276.0,False,80.0
Thomas Robinson,Brooklyn Nets,41.0,PF,25.0,6-10,200.0,Kansas,981348.0,False,99.5
Henry Sims,Brooklyn Nets,14.0,C,26.0,6-10,200.0,Georgetown,947276.0,False,80.0
Donald Sloan,Brooklyn Nets,15.0,PG,28.0,6-3,200.0,Texas A&M,947276.0,False,80.0
Thaddeus Young,Brooklyn Nets,30.0,PF,27.0,6-8,200.0,Georgia Tech,11235955.0,False,383.5
Arron Afflalo,New York Knicks,4.0,SG,30.0,6-5,200.0,UCLA,8000000.0,False,354.0
Lou Amundson,New York Knicks,17.0,PF,33.0,6-9,200.0,UNLV,1635476.0,False,166.0
Thanasis Antetokounmpo,New York Knicks,43.0,SF,23.0,6-7,200.0,,30888.0,False,1.0
Carmelo Anthony,New York Knicks,7.0,SF,32.0,6-8,200.0,Syracuse,22875000.0,False,444.0
Jose Calderon,New York Knicks,3.0,PG,34.0,6-3,200.0,,7402812.0,False,346.0
Cleanthony Early,New York Knicks,11.0,SF,25.0,6-8,200.0,Wichita State,845059.0,False,53.5
Langston Galloway,New York Knicks,2.0,SG,24.0,6-2,200.0,Saint Joseph's,845059.0,False,53.5
Jerian Grant,New York Knicks,13.0,PG,23.0,6-4,195.0,Notre Dame,1572360.0,False,163.0
Robin Lopez,New York Knicks,8.0,C,28.0,7-0,200.0,Stanford,12650000.0,False,396.0
Kyle O'Quinn,New York Knicks,9.0,PF,26.0,6-10,200.0,Norfolk State,3750000.0,False,264.5
Kristaps Porzingis,New York Knicks,6.0,PF,20.0,7-3,200.0,,4131720.0,False,280.0
Kevin Seraphin,New York Knicks,1.0,C,26.0,6-10,200.0,,2814000.0,False,220.5
Lance Thomas,New York Knicks,42.0,SF,28.0,6-8,200.0,Duke,1636842.0,False,167.0
Sasha Vujacic,New York Knicks,18.0,SG,32.0,6-7,195.0,,947276.0,False,80.0
Derrick Williams,New York Knicks,23.0,PF,25.0,6-8,200.0,Arizona,4000000.0,False,274.0
Tony Wroten,New York Knicks,5.0,SG,23.0,6-6,200.0,Washington,167406.0,False,9.0
Elton Brand,Philadelphia 76ers,42.0,PF,37.0,6-9,200.0,Duke,,False,
Isaiah Canaan,Philadelphia 76ers,0.0,PG,25.0,6-0,200.0,Murray State,947276.0,False,80.0
Robert Covington,Philadelphia 76ers,33.0,SF,25.0,6-9,200.0,Tennessee State,1000000.0,False,104.5
Joel Embiid,Philadelphia 76ers,21.0,C,22.0,7-0,200.0,Kansas,4626960.0,False,293.0
Jerami Grant,Philadelphia 76ers,39.0,SF,22.0,6-8,200.0,Syracuse,845059.0,False,53.5
Richaun Holmes,Philadelphia 76ers,22.0,PF,22.0,6-10,200.0,Bowling Green,1074169.0,False,113.0
Carl Landry,Philadelphia 76ers,7.0,PF,32.0,6-9,200.0,Purdue,6500000.0,False,334.5
Kendall Marshall,Philadelphia 76ers,5.0,PG,24.0,6-4,200.0,North Carolina,2144772.0,False,192.0
T.J. McConnell,Philadelphia 76ers,12.0,PG,24.0,6-2,200.0,Arizona,525093.0,False,32.0
Nerlens Noel,Philadelphia 76ers,4.0,PF,22.0,6-11,200.0,Kentucky,3457800.0,False,258.0
Jahlil Okafor,Philadelphia 76ers,8.0,C,20.0,6-11,200.0,Duke,4582680.0,False,292.0
Ish Smith,Philadelphia 76ers,1.0,PG,27.0,6-0,175.0,Wake Forest,947276.0,False,80.0
Nik Stauskas,Philadelphia 76ers,11.0,SG,22.0,6-6,200.0,Michigan,2869440.0,False,229.0
Hollis Thompson,Philadelphia 76ers,31.0,SG,25.0,6-8,200.0,Georgetown,947276.0,False,80.0
Christian Wood,Philadelphia 76ers,35.0,PF,20.0,6-11,200.0,UNLV,525093.0,False,32.0
Bismack Biyombo,Toronto Raptors,8.0,C,23.0,6-9,200.0,,2814000.0,False,220.5
Bruno Caboclo,Toronto Raptors,20.0,SF,20.0,6-9,200.0,,1524000.0,False,161.0
DeMarre Carroll,Toronto Raptors,5.0,SF,29.0,6-8,200.0,Missouri,13600000.0,False,406.0
DeMar DeRozan,Toronto Raptors,10.0,SG,26.0,6-7,200.0,USC,10050000.0,False,376.0
James Johnson,Toronto Raptors,3.0,PF,29.0,6-9,200.0,Wake Forest,2500000.0,False,210.0
Cory Joseph,Toronto Raptors,6.0,PG,24.0,6-3,190.0,Texas,7000000.0,False,341.5
Kyle Lowry,Toronto Raptors,7.0,PG,30.0,6-0,200.0,Villanova,12000000.0,False,390.0
Lucas Nogueira,Toronto Raptors,92.0,C,23.0,7-0,200.0,,1842000.0,False,176.5
Patrick Patterson,Toronto Raptors,54.0,PF,27.0,6-9,200.0,Kentucky,6268675.0,False,329.0
Norman Powell,Toronto Raptors,24.0,SG,23.0,6-4,200.0,UCLA,650000.0,False,42.0
Terrence Ross,Toronto Raptors,31.0,SF,25.0,6-7,195.0,Washington,3553917.0,False,261.0
Luis Scola,Toronto Raptors,4.0,PF,36.0,6-9,200.0,,2900000.0,False,232.5
Jason Thompson,Toronto Raptors,1.0,PF,29.0,6-11,200.0,Rider,245177.0,False,18.0
Jonas Valanciunas,Toronto Raptors,17.0,C,24.0,7-0,200.0,,4660482.0,False,294.0
Delon Wright,Toronto Raptors,55.0,PG,24.0,6-5,190.0,Utah,1509360.0,False,160.0
Leandro Barbosa,Golden State Warriors,19.0,SG,33.0,6-3,194.0,,2500000.0,False,210.0
Harrison Barnes,Golden State Warriors,40.0,SF,24.0,6-8,200.0,North Carolina,3873398.0,False,269.0
Andrew Bogut,Golden State Warriors,12.0,C,31.0,7-0,200.0,Utah,13800000.0,False,407.0
Ian Clark,Golden State Warriors,21.0,SG,25.0,6-3,175.0,Belmont,947276.0,False,80.0
Stephen Curry,Golden State Warriors,30.0,PG,28.0,6-3,190.0,Davidson,11370786.0,False,386.0
Festus Ezeli,Golden State Warriors,31.0,C,26.0,6-11,200.0,Vanderbilt,2008748.0,False,182.0
Draymond Green,Golden State Warriors,23.0,PF,26.0,6-7,200.0,Michigan State,14260870.0,False,410.5
Andre Iguodala,Golden State Warriors,9.0,SF,32.0,6-6,200.0,Arizona,11710456.0,False,387.0
Shaun Livingston,Golden State Warriors,34.0,PG,30.0,6-7,192.0,,5543725.0,False,318.0
Kevon Looney,Golden State Warriors,36.0,SF,20.0,6-9,200.0,UCLA,1131960.0,False,120.0
James Michael McAdoo,Golden State Warriors,20.0,SF,23.0,6-9,200.0,North Carolina,845059.0,False,53.5
Brandon Rush,Golden State Warriors,4.0,SF,30.0,6-6,200.0,Kansas,1270964.0,False,139.5
Marreese Speights,Golden State Warriors,5.0,C,28.0,6-10,200.0,Florida,3815000.0,False,268.0
Klay Thompson,Golden State Warriors,11.0,SG,26.0,6-7,200.0,Washington State,15501000.0,False,416.0
Anderson Varejao,Golden State Warriors,18.0,PF,33.0,6-11,200.0,,289755.0,False,23.0
Cole Aldrich,Los Angeles Clippers,45.0,C,27.0,6-11,200.0,Kansas,1100602.0,False,117.0
Jeff Ayres,Los Angeles Clippers,19.0,PF,29.0,6-9,200.0,Arizona State,111444.0,False,6.5
Jamal Crawford,Los Angeles Clippers,11.0,SG,36.0,6-5,195.0,Michigan,5675000.0,False,320.5
Branden Dawson,Los Angeles Clippers,22.0,SF,23.0,6-6,200.0,Michigan State,525093.0,False,32.0
Jeff Green,Los Angeles Clippers,8.0,SF,29.0,6-9,200.0,Georgetown,9650000.0,False,373.0
Blake Griffin,Los Angeles Clippers,32.0,PF,27.0,6-10,200.0,Oklahoma,18907726.0,False,432.0
Wesley Johnson,Los Angeles Clippers,33.0,SF,28.0,6-7,200.0,Syracuse,1100602.0,False,117.0
DeAndre Jordan,Los Angeles Clippers,6.0,C,27.0,6-11,200.0,Texas A&M,19689000.0,False,435.5
Luc Richard Mbah a Moute,Los Angeles Clippers,12.0,PF,29.0,6-8,200.0,UCLA,947276.0,False,80.0
Chris Paul,Los Angeles Clippers,3.0,PG,31.0,6-0,175.0,Wake Forest,21468695.0,False,441.0
Paul Pierce,Los Angeles Clippers,34.0,SF,38.0,6-7,200.0,Kansas,3376000.0,False,252.0
Pablo Prigioni,Los Angeles Clippers,9.0,PG,39.0,6-3,185.0,,947726.0,False,96.0
JJ Redick,Los Angeles Clippers,4.0,SG,31.0,6-4,190.0,Duke,7085000.0,False,345.0
Austin Rivers,Los Angeles Clippers,25.0,PG,23.0,6-4,200.0,Duke,3110796.0,False,243.0
C.J. Wilcox,Los Angeles Clippers,30.0,SG,25.0,6-5,195.0,Washington,1159680.0,False,128.0
Brandon Bass,Los Angeles Lakers,2.0,PF,31.0,6-8,200.0,LSU,3000000.0,False,236.5
Tarik Black,Los Angeles Lakers,28.0,C,24.0,6-9,200.0,Kansas,845059.0,False,53.5
Anthony Brown,Los Angeles Lakers,3.0,SF,23.0,6-7,200.0,Stanford,700000.0,False,43.0
Kobe Bryant,Los Angeles Lakers,24.0,SF,37.0,6-6,200.0,,25000000.0,False,446.0
Jordan Clarkson,Los Angeles Lakers,6.0,PG,24.0,6-5,194.0,Missouri,845059.0,False,53.5
Roy Hibbert,Los Angeles Lakers,17.0,C,29.0,7-2,200.0,Georgetown,15592217.0,False,418.0
Marcelo Huertas,Los Angeles Lakers,9.0,PG,33.0,6-3,200.0,,525093.0,False,32.0
Ryan Kelly,Los Angeles Lakers,4.0,PF,25.0,6-11,200.0,Duke,1724250.0,False,171.0
Larry Nance Jr.,Los Angeles Lakers,7.0,PF,23.0,6-9,200.0,Wyoming,1155600.0,False,127.0
Julius Randle,Los Angeles Lakers,30.0,PF,21.0,6-9,200.0,Kentucky,3132240.0,False,244.0
D'Angelo Russell,Los Angeles Lakers,1.0,PG,20.0,6-5,195.0,Ohio State,5103120.0,False,305.0
Robert Sacre,Los Angeles Lakers,50.0,C,27.0,7-0,200.0,Gonzaga,981348.0,False,99.5
Louis Williams,Los Angeles Lakers,23.0,SG,29.0,6-1,175.0,,7000000.0,False,341.5
Metta World Peace,Los Angeles Lakers,37.0,SF,36.0,6-7,200.0,St. John's,947276.0,False,80.0
Nick Young,Los Angeles Lakers,0.0,SF,31.0,6-7,200.0,USC,5219169.0,False,311.0
Eric Bledsoe,Phoenix Suns,2.0,PG,26.0,6-1,190.0,Kentucky,13500000.0,False,404.0
Devin Booker,Phoenix Suns,1.0,SG,19.0,6-6,200.0,Kentucky,2127840.0,False,190.0
Chase Budinger,Phoenix Suns,10.0,SF,28.0,6-7,200.0,Arizona,206192.0,False,15.0
Tyson Chandler,Phoenix Suns,4.0,C,33.0,7-1,200.0,,13000000.0,False,398.5
Archie Goodwin,Phoenix Suns,20.0,SG,21.0,6-5,200.0,Kentucky,1160160.0,False,129.0
John Jenkins,Phoenix Suns,23.0,SG,25.0,6-4,200.0,Vanderbilt,981348.0,False,99.5
Brandon Knight,Phoenix Suns,3.0,PG,24.0,6-3,189.0,Kentucky,13500000.0,False,404.0
Alex Len,Phoenix Suns,21.0,C,22.0,7-1,200.0,Maryland,3807120.0,False,267.0
Jon Leuer,Phoenix Suns,30.0,PF,27.0,6-10,200.0,Wisconsin,1035000.0,False,112.0
Phil Pressey,Phoenix Suns,25.0,PG,25.0,5-11,175.0,Missouri,55722.0,False,2.5
Ronnie Price,Phoenix Suns,14.0,PG,32.0,6-2,190.0,Utah Valley,947276.0,False,80.0
Mirza Teletovic,Phoenix Suns,35.0,PF,30.0,6-9,200.0,,5500000.0,False,315.5
P.J. Tucker,Phoenix Suns,17.0,SF,31.0,6-6,200.0,Texas,5500000.0,False,315.5
T.J. Warren,Phoenix Suns,12.0,SF,22.0,6-8,200.0,North Carolina State,2041080.0,False,184.0
Alan Williams,Phoenix Suns,15.0,C,23.0,6-8,200.0,UC Santa Barbara,83397.0,False,4.0
Quincy Acy,Sacramento Kings,13.0,SF,25.0,6-7,200.0,Baylor,981348.0,False,99.5
James Anderson,Sacramento Kings,5.0,SG,27.0,6-6,200.0,Oklahoma State,1015421.0,False,110.0
Marco Belinelli,Sacramento Kings,3.0,SG,30.0,6-5,200.0,,6060606.0,False,327.0
Caron Butler,Sacramento Kings,31.0,SF,36.0,6-7,200.0,Connecticut,1449187.0,False,154.0
Omri Casspi,Sacramento Kings,18.0,SF,27.0,6-9,200.0,,2836186.0,False,223.0
Willie Cauley-Stein,Sacramento Kings,0.0,C,22.0,7-0,200.0,Kentucky,3398280.0,False,254.0
Darren Collison,Sacramento Kings,7.0,PG,28.0,6-0,175.0,UCLA,5013559.0,False,303.0
DeMarcus Cousins,Sacramento Kings,15.0,C,25.0,6-11,200.0,Kentucky,15851950.0,False,420.5
Seth Curry,Sacramento Kings,30.0,SG,25.0,6-2,185.0,Duke,947276.0,False,80.0
Duje Dukan,Sacramento Kings,26.0,PF,24.0,6-9,200.0,Wisconsin,525093.0,False,32.0
Rudy Gay,Sacramento Kings,8.0,SF,29.0,6-8,200.0,Connecticut,12403101.0,False,395.0
Kosta Koufos,Sacramento Kings,41.0,C,27.0,7-0,200.0,Ohio State,7700000.0,False,349.0
Ben McLemore,Sacramento Kings,23.0,SG,23.0,6-5,195.0,Kansas,3156600.0,False,246.0
Eric Moreland,Sacramento Kings,25.0,PF,24.0,6-10,200.0,Oregon State,845059.0,False,53.5
Rajon Rondo,Sacramento Kings,9.0,PG,30.0,6-1,186.0,Kentucky,9500000.0,False,370.0
Cameron Bairstow,Chicago Bulls,41.0,PF,25.0,6-9,200.0,New Mexico,845059.0,False,53.5
Aaron Brooks,Chicago Bulls,0.0,PG,31.0,6-0,161.0,Oregon,2250000.0,False,198.0
Jimmy Butler,Chicago Bulls,21.0,SG,26.0,6-7,200.0,Marquette,16407500.0,False,425.0
Mike Dunleavy,Chicago Bulls,34.0,SG,35.0,6-9,200.0,Duke,4500000.0,False,290.5
Cristiano Felicio,Chicago Bulls,6.0,PF,23.0,6-10,200.0,,525093.0,False,32.0
Pau Gasol,Chicago Bulls,16.0,C,35.0,7-0,200.0,,7448760.0,False,347.0
Taj Gibson,Chicago Bulls,22.0,PF,30.0,6-9,200.0,USC,8500000.0,False,364.0
Justin Holiday,Chicago Bulls,7.0,SG,27.0,6-6,185.0,Washington,947276.0,False,80.0
Doug McDermott,Chicago Bulls,3.0,SF,24.0,6-8,200.0,Creighton,2380440.0,False,203.0
Nikola Mirotic,Chicago Bulls,44.0,PF,25.0,6-10,200.0,,5543725.0,False,318.0
E'Twaun Moore,Chicago Bulls,55.0,SG,27.0,6-4,191.0,Purdue,1015421.0,False,110.0
Joakim Noah,Chicago Bulls,13.0,C,31.0,6-11,200.0,Florida,13400000.0,False,401.0
Bobby Portis,Chicago Bulls,5.0,PF,21.0,6-11,200.0,Arkansas,1391160.0,False,150.0
Derrick Rose,Chicago Bulls,1.0,PG,27.0,6-3,190.0,Memphis,20093064.0,False,439.0
Tony Snell,Chicago Bulls,20.0,SF,24.0,6-7,200.0,New Mexico,1535880.0,False,162.0
Matthew Dellavedova,Cleveland Cavaliers,8.0,PG,25.0,6-4,198.0,Saint Mary's,1147276.0,False,124.0
Channing Frye,Cleveland Cavaliers,9.0,PF,33.0,6-11,200.0,Arizona,8193029.0,False,358.0
Kyrie Irving,Cleveland Cavaliers,2.0,PG,24.0,6-3,193.0,Duke,16407501.0,False,428.0
LeBron James,Cleveland Cavaliers,23.0,SF,31.0,6-8,200.0,,22970500.0,False,445.0
Richard Jefferson,Cleveland Cavaliers,24.0,SF,35.0,6-7,200.0,Arizona,947276.0,False,80.0
Dahntay Jones,Cleveland Cavaliers,30.0,SG,35.0,6-6,200.0,Duke,,False,
James Jones,Cleveland Cavaliers,1.0,SG,35.0,6-8,200.0,Miami (FL),947276.0,False,80.0
Sasha Kaun,Cleveland Cavaliers,14.0,C,31.0,6-11,200.0,Kansas,1276000.0,False,141.0
Kevin Love,Cleveland Cavaliers,0.0,PF,27.0,6-10,200.0,UCLA,19689000.0,False,435.5
Jordan McRae,Cleveland Cavaliers,12.0,SG,25.0,6-5,179.0,Tennessee,111196.0,False,5.0
Timofey Mozgov,Cleveland Cavaliers,20.0,C,29.0,7-1,200.0,,4950000.0,False,297.0
Iman Shumpert,Cleveland Cavaliers,4.0,SG,25.0,6-5,200.0,Georgia Tech,8988765.0,False,366.0
J.R. Smith,Cleveland Cavaliers,5.0,SG,30.0,6-6,200.0,,5000000.0,False,300.0
Tristan Thompson,Cleveland Cavaliers,13.0,C,25.0,6-9,200.0,Texas,14260870.0,False,410.5
Mo Williams,Cleveland Cavaliers,52.0,PG,33.0,6-1,198.0,Alabama,2100000.0,False,188.0
Joel Anthony,Detroit Pistons,50.0,C,33.0,6-9,200.0,UNLV,2500000.0,False,210.0
Aron Baynes,Detroit Pistons,12.0,C,29.0,6-10,200.0,Washington State,6500000.0,False,334.5
Steve Blake,Detroit Pistons,22.0,PG,36.0,6-3,172.0,Maryland,2170465.0,False,195.5
Lorenzo Brown,Detroit Pistons,17.0,PG,25.0,6-5,189.0,North Carolina State,111444.0,False,6.5
Reggie Bullock,Detroit Pistons,25.0,SF,25.0,6-7,200.0,North Carolina,1252440.0,False,138.0
Kentavious Caldwell-Pope,Detroit Pistons,5.0,SG,23.0,6-5,200.0,Georgia,2891760.0,False,230.0
Spencer Dinwiddie,Detroit Pistons,8.0,PG,23.0,6-6,200.0,Colorado,845059.0,False,53.5
Andre Drummond,Detroit Pistons,0.0,C,22.0,6-11,200.0,Connecticut,3272091.0,False,248.0
Tobias Harris,Detroit Pistons,34.0,SF,23.0,6-9,200.0,Tennessee,16000000.0,False,422.0
Darrun Hilliard,Detroit Pistons,6.0,SF,23.0,6-6,200.0,Villanova,600000.0,False,40.0
Reggie Jackson,Detroit Pistons,1.0,PG,26.0,6-3,200.0,Boston College,13913044.0,False,408.0
Stanley Johnson,Detroit Pistons,3.0,SF,20.0,6-7,200.0,Arizona,2841960.0,False,224.0
Jodie Meeks,Detroit Pistons,20.0,SG,28.0,6-4,200.0,Kentucky,6270000.0,False,330.0
Marcus Morris,Detroit Pistons,13.0,PF,26.0,6-9,200.0,Kansas,5000000.0,False,300.0
Anthony Tolliver,Detroit Pistons,43.0,PF,31.0,6-8,200.0,Creighton,3000000.0,False,236.5
Lavoy Allen,Indiana Pacers,5.0,PF,27.0,6-9,200.0,Temple,4050000.0,False,277.0
Rakeem Christmas,Indiana Pacers,25.0,PF,24.0,6-9,200.0,Syracuse,1007026.0,False,107.5
Monta Ellis,Indiana Pacers,11.0,SG,30.0,6-3,185.0,,10300000.0,False,378.0
Paul George,Indiana Pacers,13.0,SF,26.0,6-9,200.0,Fresno State,17120106.0,False,430.0
George Hill,Indiana Pacers,3.0,PG,30.0,6-3,188.0,IUPUI,8000000.0,False,354.0
Jordan Hill,Indiana Pacers,27.0,C,28.0,6-10,200.0,Arizona,4000000.0,False,274.0
Solomon Hill,Indiana Pacers,44.0,SF,25.0,6-7,200.0,Arizona,1358880.0,False,149.0
Ty Lawson,Indiana Pacers,10.0,PG,28.0,5-11,195.0,North Carolina,211744.0,False,16.0
Ian Mahinmi,Indiana Pacers,28.0,C,29.0,6-11,200.0,,4000000.0,False,274.0
C.J. Miles,Indiana Pacers,0.0,SF,29.0,6-6,200.0,,4394225.0,False,289.0
Glenn Robinson III,Indiana Pacers,40.0,SG,22.0,6-7,200.0,Michigan,1100000.0,False,114.0
Rodney Stuckey,Indiana Pacers,2.0,PG,30.0,6-5,200.0,Eastern Washington,7000000.0,False,341.5
Myles Turner,Indiana Pacers,33.0,PF,20.0,6-11,200.0,Texas,2357760.0,False,202.0
Shayne Whittington,Indiana Pacers,42.0,PF,25.0,6-11,200.0,Western Michigan,845059.0,False,53.5
Joe Young,Indiana Pacers,1.0,PG,23.0,6-2,180.0,Oregon,1007026.0,False,107.5
Giannis Antetokounmpo,Milwaukee Bucks,34.0,SF,21.0,6-11,200.0,,1953960.0,False,180.0
Jerryd Bayless,Milwaukee Bucks,19.0,PG,27.0,6-3,200.0,Arizona,3000000.0,False,236.5
Michael Carter-Williams,Milwaukee Bucks,5.0,PG,24.0,6-6,190.0,Syracuse,2399040.0,False,205.0
Jared Cunningham,Milwaukee Bucks,9.0,SG,25.0,6-4,195.0,Oregon State,947276.0,False,80.0
Tyler Ennis,Milwaukee Bucks,11.0,PG,21.0,6-3,194.0,Syracuse,1662360.0,False,169.0
John Henson,Milwaukee Bucks,31.0,PF,25.0,6-11,200.0,North Carolina,2943221.0,False,234.0
Damien Inglis,Milwaukee Bucks,17.0,SF,21.0,6-8,200.0,,855000.0,False,63.0
O.J. Mayo,Milwaukee Bucks,3.0,SG,28.0,6-5,200.0,USC,8000000.0,False,354.0
Khris Middleton,Milwaukee Bucks,22.0,SG,24.0,6-8,200.0,Texas A&M,14700000.0,False,412.0
Greg Monroe,Milwaukee Bucks,15.0,C,26.0,6-11,200.0,Georgetown,16407500.0,False,425.0
Steve Novak,Milwaukee Bucks,6.0,SF,32.0,6-10,200.0,Marquette,295327.0,False,24.0
Johnny O'Bryant III,Milwaukee Bucks,77.0,PF,23.0,6-9,200.0,LSU,845059.0,False,53.5
Jabari Parker,Milwaukee Bucks,12.0,PF,21.0,6-8,200.0,Duke,5152440.0,False,307.0
Miles Plumlee,Milwaukee Bucks,18.0,C,27.0,6-11,200.0,Duke,2109294.0,False,189.0
Greivis Vasquez,Milwaukee Bucks,21.0,PG,29.0,6-6,200.0,Maryland,6600000.0,False,336.0
Rashad Vaughn,Milwaukee Bucks,20.0,SG,19.0,6-6,200.0,UNLV,1733040.0,False,172.0
Justin Anderson,Dallas Mavericks,1.0,SG,22.0,6-6,200.0,Virginia,1449000.0,False,153.0
