Name,Team,Number,Position,Age,Height,Weight,College,Salary,TF,Rank
J.J. Barea,Dallas Mavericks,5.0,PG,31.0,6-0,185.0,Northeastern,4290000.0,False,284.0
Jeremy Evans,Dallas Mavericks,21.0,SF,28.0,6-9,200.0,Western Kentucky,1100602.0,False,117.0
Raymond Felton,Dallas Mavericks,2.0,PG,31.0,6-1,200.0,North Carolina,3950313.0,False,271.0
Devin Harris,Dallas Mavericks,34.0,PG,33.0,6-3,185.0,Wisconsin,4053446.0,False,278.0
David Lee,Dallas Mavericks,42.0,PF,33.0,6-9,200.0,Florida,2085671.0,False,187.0
Wesley Matthews,Dallas Mavericks,23.0,SG,29.0,6-5,200.0,Marquette,16407500.0,False,425.0
JaVale McGee,Dallas Mavericks,11.0,C,28.0,7-0,200.0,Nevada,1270964.0,False,139.5
Salah Mejri,Dallas Mavericks,50.0,C,29.0,7-2,200.0,,525093.0,False,32.0
Dirk Nowitzki,Dallas Mavericks,41.0,PF,37.0,7-0,200.0,,8333334.0,False,361.0
Zaza Pachulia,Dallas Mavericks,27.0,C,32.0,6-11,200.0,,5200000.0,False,310.0
Chandler Parsons,Dallas Mavericks,25.0,SF,27.0,6-10,200.0,Florida,15361500.0,False,414.0
Dwight Powell,Dallas Mavericks,7.0,PF,24.0,6-11,200.0,Stanford,845059.0,False,53.5
Charlie Villanueva,Dallas Mavericks,3.0,PF,31.0,6-11,200.0,Connecticut,947276.0,False,80.0
Deron Williams,Dallas Mavericks,8.0,PG,31.0,6-3,200.0,Illinois,5378974.0,False,313.0
Trevor Ariza,Houston Rockets,1.0,SF,30.0,6-8,200.0,UCLA,8193030.0,False,359.0
Michael Beasley,Houston Rockets,8.0,SF,27.0,6-10,200.0,Kansas State,306527.0,False,25.0
Patrick Beverley,Houston Rockets,2.0,PG,27.0,6-1,185.0,Arkansas,6486486.0,False,333.0
Corey Brewer,Houston Rockets,33.0,SG,30.0,6-9,186.0,Florida,8229375.0,False,360.0
Clint Capela,Houston Rockets,15.0,PF,22.0,6-10,200.0,,1242720.0,False,137.0
Sam Dekker,Houston Rockets,7.0,SF,22.0,6-9,200.0,Wisconsin,1646400.0,False,168.0
Andrew Goudelock,Houston Rockets,0.0,PG,27.0,6-3,200.0,Charleston,200600.0,False,13.0
James Harden,Houston Rockets,13.0,SG,26.0,6-5,200.0,Arizona State,15756438.0,False,419.0
Montrezl Harrell,Houston Rockets,35.0,PF,22.0,6-8,200.0,Louisville,1000000.0,False,104.5
Dwight Howard,Houston Rockets,12.0,C,30.0,6-11,200.0,,22359364.0,False,443.0
Terrence Jones,Houston Rockets,6.0,PF,24.0,6-9,200.0,Kentucky,2489530.0,False,208.0
K.J. McDaniels,Houston Rockets,32.0,SG,23.0,6-6,200.0,Clemson,3189794.0,False,247.0
Donatas Motiejunas,Houston Rockets,20.0,PF,25.0,7-0,200.0,,2288205.0,False,200.5
Josh Smith,Houston Rockets,5.0,C,30.0,6-9,200.0,,947276.0,False,80.0
Jason Terry,Houston Rockets,31.0,SG,38.0,6-2,185.0,Arizona,947276.0,False,80.0
Jordan Adams,Memphis Grizzlies,3.0,SG,21.0,6-5,200.0,UCLA,1404600.0,False,151.0
Tony Allen,Memphis Grizzlies,9.0,SG,34.0,6-4,200.0,Oklahoma State,5158539.0,False,308.0
Chris Andersen,Memphis Grizzlies,7.0,PF,37.0,6-10,200.0,Blinn College,5000000.0,False,300.0
Matt Barnes,Memphis Grizzlies,22.0,SF,36.0,6-7,200.0,UCLA,3542500.0,False,260.0
Vince Carter,Memphis Grizzlies,15.0,SG,39.0,6-6,200.0,North Carolina,4088019.0,False,279.0
Mike Conley,Memphis Grizzlies,11.0,PG,28.0,6-1,175.0,Ohio State,9588426.0,False,371.0
Bryce Cotton,Memphis Grizzlies,8.0,PG,23.0,6-1,165.0,Providence,700902.0,False,44.0
Jordan Farmar,Memphis Grizzlies,4.0,PG,29.0,6-2,180.0,UCLA,,False,
Marc Gasol,Memphis Grizzlies,33.0,C,31.0,7-1,200.0,,19688000.0,False,433.0
JaMychal Green,Memphis Grizzlies,0.0,PF,25.0,6-9,200.0,Alabama,845059.0,False,53.5
P.J. Hairston,Memphis Grizzlies,19.0,SF,23.0,6-6,200.0,North Carolina,1201440.0,False,134.0
Jarell Martin,Memphis Grizzlies,10.0,PF,22.0,6-10,200.0,LSU,1230840.0,False,136.0
Ray McCallum,Memphis Grizzlies,5.0,PG,24.0,6-3,190.0,Detroit,,False,
Xavier Munford,Memphis Grizzlies,14.0,PG,24.0,6-3,180.0,Rhode Island,,False,
Zach Randolph,Memphis Grizzlies,50.0,PF,34.0,6-9,200.0,Michigan State,9638555.0,False,372.0
Lance Stephenson,Memphis Grizzlies,1.0,SF,25.0,6-5,200.0,Cincinnati,9000000.0,False,367.0
Alex Stepheson,Memphis Grizzlies,35.0,PF,28.0,6-10,200.0,USC,,False,
Brandan Wright,Memphis Grizzlies,34.0,PF,28.0,6-10,200.0,North Carolina,5464000.0,False,314.0
Alexis Ajinca,New Orleans Pelicans,42.0,C,28.0,7-2,200.0,,4389607.0,False,288.0
Ryan Anderson,New Orleans Pelicans,33.0,PF,28.0,6-10,200.0,California,8500000.0,False,364.0
Omer Asik,New Orleans Pelicans,3.0,C,29.0,7-0,200.0,,9213483.0,False,368.0
Luke Babbitt,New Orleans Pelicans,8.0,SF,26.0,6-9,200.0,Nevada,1100602.0,False,117.0
Norris Cole,New Orleans Pelicans,30.0,PG,27.0,6-2,175.0,Cleveland State,3036927.0,False,240.0
Dante Cunningham,New Orleans Pelicans,44.0,PF,29.0,6-8,200.0,Villanova,2850000.0,False,225.0
Anthony Davis,New Orleans Pelicans,23.0,PF,23.0,6-10,200.0,Kentucky,7070730.0,False,344.0
Bryce Dejean-Jones,New Orleans Pelicans,31.0,SG,23.0,6-6,200.0,Iowa State,169883.0,False,10.0
Toney Douglas,New Orleans Pelicans,16.0,PG,30.0,6-2,195.0,Florida State,1164858.0,False,130.0
James Ennis,New Orleans Pelicans,4.0,SF,25.0,6-7,200.0,Long Beach State,845059.0,False,53.5
Tyreke Evans,New Orleans Pelicans,1.0,SG,26.0,6-6,200.0,Memphis,10734586.0,False,381.0
Tim Frazier,New Orleans Pelicans,2.0,PG,25.0,6-1,170.0,Penn State,845059.0,False,53.5
Alonzo Gee,New Orleans Pelicans,15.0,SF,29.0,6-6,200.0,Alabama,1320000.0,False,146.0
Eric Gordon,New Orleans Pelicans,10.0,SG,27.0,6-4,200.0,Indiana,15514031.0,False,417.0
Jordan Hamilton,New Orleans Pelicans,25.0,SG,25.0,6-7,200.0,Texas,1015421.0,False,110.0
Jrue Holiday,New Orleans Pelicans,11.0,PG,25.0,6-4,200.0,UCLA,10595507.0,False,380.0
Orlando Johnson,New Orleans Pelicans,0.0,SG,27.0,6-5,200.0,UC Santa Barbara,55722.0,False,2.5
Kendrick Perkins,New Orleans Pelicans,5.0,C,31.0,6-10,200.0,,947276.0,False,80.0
Quincy Pondexter,New Orleans Pelicans,20.0,SF,28.0,6-7,200.0,Washington,3382023.0,False,253.0
LaMarcus Aldridge,San Antonio Spurs,12.0,PF,30.0,6-11,200.0,Texas,19689000.0,False,435.5
Kyle Anderson,San Antonio Spurs,1.0,SF,22.0,6-9,200.0,UCLA,1142880.0,False,123.0
Matt Bonner,San Antonio Spurs,15.0,C,36.0,6-10,200.0,Florida,947276.0,False,80.0
Boris Diaw,San Antonio Spurs,33.0,C,34.0,6-8,200.0,,7500000.0,False,348.0
Tim Duncan,San Antonio Spurs,21.0,C,40.0,6-11,200.0,Wake Forest,5250000.0,False,312.0
Manu Ginobili,San Antonio Spurs,20.0,SG,38.0,6-6,200.0,,2814000.0,False,220.5
Danny Green,San Antonio Spurs,14.0,SG,28.0,6-6,200.0,North Carolina,10000000.0,False,375.0
Kawhi Leonard,San Antonio Spurs,2.0,SF,24.0,6-7,200.0,San Diego State,16407500.0,False,425.0
Boban Marjanovic,San Antonio Spurs,40.0,C,27.0,7-3,200.0,,1200000.0,False,133.0
Kevin Martin,San Antonio Spurs,23.0,SG,33.0,6-7,199.0,Western Carolina,200600.0,False,13.0
Andre Miller,San Antonio Spurs,24.0,PG,40.0,6-3,200.0,Utah,250750.0,False,19.0
Patty Mills,San Antonio Spurs,8.0,PG,27.0,6-0,185.0,Saint Mary's,3578947.0,False,262.0
Tony Parker,San Antonio Spurs,9.0,PG,34.0,6-2,185.0,,13437500.0,False,402.0
Jonathon Simmons,San Antonio Spurs,17.0,SG,26.0,6-6,195.0,Houston,525093.0,False,32.0
David West,San Antonio Spurs,30.0,PF,35.0,6-9,200.0,Xavier,1499187.0,False,157.0
Kent Bazemore,Atlanta Hawks,24.0,SF,26.0,6-5,200.0,Old Dominion,2000000.0,False,181.0
Tim Hardaway Jr.,Atlanta Hawks,10.0,SG,24.0,6-6,200.0,Michigan,1304520.0,False,145.0
Kirk Hinrich,Atlanta Hawks,12.0,SG,35.0,6-4,190.0,Kansas,2854940.0,False,227.0
Al Horford,Atlanta Hawks,15.0,C,30.0,6-10,200.0,Florida,12000000.0,False,390.0
Kris Humphries,Atlanta Hawks,43.0,PF,31.0,6-9,200.0,Minnesota,1000000.0,False,104.5
Kyle Korver,Atlanta Hawks,26.0,SG,35.0,6-7,200.0,Creighton,5746479.0,False,324.0
Paul Millsap,Atlanta Hawks,4.0,PF,31.0,6-8,200.0,Louisiana Tech,18671659.0,False,431.0
Mike Muscala,Atlanta Hawks,31.0,PF,24.0,6-11,200.0,Bucknell,947276.0,False,80.0
Lamar Patterson,Atlanta Hawks,13.0,SG,24.0,6-5,200.0,Pittsburgh,525093.0,False,32.0
Dennis Schroder,Atlanta Hawks,17.0,PG,22.0,6-1,172.0,,1763400.0,False,174.0
Mike Scott,Atlanta Hawks,32.0,PF,27.0,6-8,200.0,Virginia,3333333.0,False,250.0
Thabo Sefolosha,Atlanta Hawks,25.0,SF,32.0,6-7,200.0,,4000000.0,False,274.0
Tiago Splitter,Atlanta Hawks,11.0,C,31.0,6-11,200.0,,9756250.0,False,374.0
Walter Tavares,Atlanta Hawks,22.0,C,24.0,7-3,200.0,,1000000.0,False,104.5
Jeff Teague,Atlanta Hawks,0.0,PG,27.0,6-2,186.0,Wake Forest,8000000.0,False,354.0
Nicolas Batum,Charlotte Hornets,5.0,SG,27.0,6-8,200.0,,13125306.0,False,400.0
Troy Daniels,Charlotte Hornets,30.0,SG,24.0,6-4,200.0,Virginia Commonwealth,947276.0,False,80.0
Jorge Gutierrez,Charlotte Hornets,12.0,PG,27.0,6-3,189.0,California,189455.0,False,11.0
Tyler Hansbrough,Charlotte Hornets,50.0,PF,30.0,6-9,200.0,North Carolina,947276.0,False,80.0
Aaron Harrison,Charlotte Hornets,9.0,SG,21.0,6-6,200.0,Kentucky,525093.0,False,32.0
Spencer Hawes,Charlotte Hornets,0.0,PF,28.0,7-1,200.0,Washington,6110034.0,False,328.0
Al Jefferson,Charlotte Hornets,25.0,C,31.0,6-10,200.0,,13500000.0,False,404.0
Frank Kaminsky III,Charlotte Hornets,44.0,C,23.0,7-0,200.0,Wisconsin,2612520.0,False,215.0
Michael Kidd-Gilchrist,Charlotte Hornets,14.0,SF,22.0,6-7,200.0,Kentucky,6331404.0,False,332.0
Jeremy Lamb,Charlotte Hornets,3.0,SG,24.0,6-5,185.0,Connecticut,3034356.0,False,239.0
Courtney Lee,Charlotte Hornets,1.0,SG,30.0,6-5,200.0,Western Kentucky,5675000.0,False,320.5
Jeremy Lin,Charlotte Hornets,7.0,PG,27.0,6-3,200.0,Harvard,2139000.0,False,191.0
Kemba Walker,Charlotte Hornets,15.0,PG,26.0,6-1,184.0,Connecticut,12000000.0,False,390.0
Marvin Williams,Charlotte Hornets,2.0,PF,29.0,6-9,200.0,North Carolina,7000000.0,False,341.5
Cody Zeller,Charlotte Hornets,40.0,C,23.0,7-0,200.0,Indiana,4204200.0,False,282.0
Chris Bosh,Miami Heat,1.0,PF,32.0,6-11,200.0,Georgia Tech,22192730.0,False,442.0
Luol Deng,Miami Heat,9.0,SF,31.0,6-9,200.0,Duke,10151612.0,False,377.0
Goran Dragic,Miami Heat,7.0,PG,30.0,6-3,190.0,,14783000.0,False,413.0
Gerald Green,Miami Heat,14.0,SF,30.0,6-7,200.0,,947276.0,False,80.0
Udonis Haslem,Miami Heat,40.0,PF,36.0,6-8,200.0,Florida,2854940.0,False,227.0
Joe Johnson,Miami Heat,2.0,SF,34.0,6-7,200.0,Arkansas,261894.0,False,21.0
Tyler Johnson,Miami Heat,8.0,SG,24.0,6-4,186.0,Fresno State,845059.0,False,53.5
Josh McRoberts,Miami Heat,4.0,PF,29.0,6-10,200.0,Duke,5543725.0,False,318.0
Josh Richardson,Miami Heat,0.0,SG,22.0,6-6,200.0,Tennessee,525093.0,False,32.0
Amar'e Stoudemire,Miami Heat,5.0,PF,33.0,6-10,200.0,,947276.0,False,80.0
Dwyane Wade,Miami Heat,3.0,SG,34.0,6-4,200.0,Marquette,20000000.0,False,438.0
Briante Weber,Miami Heat,12.0,PG,23.0,6-2,165.0,Virginia Commonwealth,,False,
Hassan Whiteside,Miami Heat,21.0,C,26.0,7-0,200.0,Marshall,981348.0,False,99.5
Justise Winslow,Miami Heat,20.0,SF,20.0,6-7,200.0,Duke,2481720.0,False,207.0
Dorell Wright,Miami Heat,11.0,SF,30.0,6-9,200.0,,,False,
Dewayne Dedmon,Orlando Magic,3.0,C,26.0,7-0,200.0,USC,947276.0,False,80.0
Evan Fournier,Orlando Magic,10.0,SG,23.0,6-7,200.0,,2288205.0,False,200.5
Aaron Gordon,Orlando Magic,0.0,PF,20.0,6-9,200.0,Arizona,4171680.0,False,281.0
Mario Hezonja,Orlando Magic,23.0,SG,21.0,6-8,200.0,,3741480.0,False,263.0
Ersan Ilyasova,Orlando Magic,7.0,PF,29.0,6-10,200.0,,7900000.0,False,351.0
Brandon Jennings,Orlando Magic,55.0,PG,26.0,6-1,169.0,,8344497.0,False,362.0
Devyn Marble,Orlando Magic,11.0,SF,23.0,6-6,200.0,Iowa,845059.0,False,53.5
Shabazz Napier,Orlando Magic,13.0,PG,24.0,6-1,175.0,Connecticut,1294440.0,False,143.0
Andrew Nicholson,Orlando Magic,44.0,PF,26.0,6-9,200.0,St. Bonaventure,2380593.0,False,204.0
Victor Oladipo,Orlando Magic,5.0,SG,24.0,6-4,200.0,Indiana,5192520.0,False,309.0
Elfrid Payton,Orlando Magic,4.0,PG,22.0,6-4,185.0,Louisiana-Lafayette,2505720.0,False,212.0
Jason Smith,Orlando Magic,14.0,PF,30.0,7-0,200.0,Colorado State,4300000.0,False,285.0
Nikola Vucevic,Orlando Magic,9.0,C,25.0,7-0,200.0,USC,11250000.0,False,385.0
C.J. Watson,Orlando Magic,32.0,PG,32.0,6-2,175.0,Tennessee,5000000.0,False,300.0
Alan Anderson,Washington Wizards,6.0,SG,33.0,6-6,200.0,Michigan State,4000000.0,False,274.0
Bradley Beal,Washington Wizards,3.0,SG,22.0,6-5,200.0,Florida,5694674.0,False,322.0
Jared Dudley,Washington Wizards,1.0,SF,30.0,6-7,200.0,Boston College,4375000.0,False,287.0
Jarell Eddie,Washington Wizards,8.0,SG,24.0,6-7,200.0,Virginia Tech,561716.0,False,39.0
Drew Gooden,Washington Wizards,90.0,PF,34.0,6-10,200.0,Kansas,3300000.0,False,249.0
Marcin Gortat,Washington Wizards,13.0,C,32.0,6-11,200.0,,11217391.0,False,382.0
JJ Hickson,Washington Wizards,21.0,C,27.0,6-9,200.0,North Carolina State,273038.0,False,22.0
Nene Hilario,Washington Wizards,42.0,C,33.0,6-11,200.0,,13000000.0,False,398.5
Markieff Morris,Washington Wizards,5.0,PF,26.0,6-10,200.0,Kansas,8000000.0,False,354.0
Kelly Oubre Jr.,Washington Wizards,12.0,SF,20.0,6-7,200.0,Kansas,1920240.0,False,178.0
Otto Porter Jr.,Washington Wizards,22.0,SF,23.0,6-8,198.0,Georgetown,4662960.0,False,295.0
Ramon Sessions,Washington Wizards,7.0,PG,30.0,6-3,190.0,Nevada,2170465.0,False,195.5
Garrett Temple,Washington Wizards,17.0,SG,30.0,6-6,195.0,LSU,1100602.0,False,117.0
Marcus Thornton,Washington Wizards,15.0,SF,29.0,6-4,200.0,LSU,200600.0,False,13.0
John Wall,Washington Wizards,2.0,PG,25.0,6-4,195.0,Kentucky,15851950.0,False,420.5
Darrell Arthur,Denver Nuggets,0.0,PF,28.0,6-9,200.0,Kansas,2814000.0,False,220.5
D.J. Augustin,Denver Nuggets,12.0,PG,28.0,6-0,183.0,Texas,3000000.0,False,236.5
Will Barton,Denver Nuggets,5.0,SF,25.0,6-6,175.0,Memphis,3533333.0,False,259.0
Wilson Chandler,Denver Nuggets,21.0,SF,29.0,6-8,200.0,DePaul,10449438.0,False,379.0
Kenneth Faried,Denver Nuggets,35.0,PF,26.0,6-8,200.0,Morehead State,11235955.0,False,383.5
Danilo Gallinari,Denver Nuggets,8.0,SF,27.0,6-10,200.0,,14000000.0,False,409.0
Gary Harris,Denver Nuggets,14.0,SG,21.0,6-4,200.0,Michigan State,1584480.0,False,164.0
Nikola Jokic,Denver Nuggets,15.0,C,21.0,6-10,200.0,,1300000.0,False,144.0
Joffrey Lauvergne,Denver Nuggets,77.0,C,24.0,6-11,200.0,,1709719.0,False,170.0
Mike Miller,Denver Nuggets,3.0,SG,36.0,6-8,200.0,Florida,947276.0,False,80.0
Emmanuel Mudiay,Denver Nuggets,0.0,PG,20.0,6-5,200.0,,3102240.0,False,242.0
Jameer Nelson,Denver Nuggets,1.0,PG,34.0,6-0,190.0,Saint Joseph's,4345000.0,False,286.0
Jusuf Nurkic,Denver Nuggets,23.0,C,21.0,7-0,200.0,,1842000.0,False,176.5
JaKarr Sampson,Denver Nuggets,9.0,SG,23.0,6-9,200.0,St. John's,258489.0,False,20.0
Axel Toupane,Denver Nuggets,6.0,SG,23.0,6-7,200.0,,,False,
Nemanja Bjelica,Minnesota Timberwolves,88.0,PF,28.0,6-10,200.0,,3950001.0,False,270.0
Gorgui Dieng,Minnesota Timberwolves,5.0,C,26.0,6-11,200.0,Louisville,1474440.0,False,156.0
Kevin Garnett,Minnesota Timberwolves,21.0,PF,40.0,6-11,200.0,,8500000.0,False,364.0
Tyus Jones,Minnesota Timberwolves,1.0,PG,20.0,6-2,195.0,Duke,1282080.0,False,142.0
Zach LaVine,Minnesota Timberwolves,8.0,PG,21.0,6-5,189.0,UCLA,2148360.0,False,193.0
Shabazz Muhammad,Minnesota Timberwolves,15.0,SF,23.0,6-6,200.0,UCLA,2056920.0,False,186.0
Adreian Payne,Minnesota Timberwolves,33.0,PF,25.0,6-10,200.0,Michigan State,1938840.0,False,179.0
Nikola Pekovic,Minnesota Timberwolves,14.0,C,30.0,6-11,200.0,,12100000.0,False,393.0
Tayshaun Prince,Minnesota Timberwolves,12.0,SF,36.0,6-9,200.0,Kentucky,947276.0,False,80.0
Ricky Rubio,Minnesota Timberwolves,9.0,PG,25.0,6-4,194.0,,12700000.0,False,397.0
Damjan Rudez,Minnesota Timberwolves,10.0,SF,29.0,6-9,200.0,,1149500.0,False,126.0
Greg Smith,Minnesota Timberwolves,4.0,PF,25.0,6-10,200.0,Fresno State,,False,
Karl-Anthony Towns,Minnesota Timberwolves,32.0,C,20.0,7-0,200.0,Kentucky,5703600.0,False,323.0
Andrew Wiggins,Minnesota Timberwolves,22.0,SG,21.0,6-8,199.0,Kansas,5758680.0,False,325.0
Steven Adams,Oklahoma City Thunder,12.0,C,22.0,7-0,200.0,Pittsburgh,2279040.0,False,199.0
Nick Collison,Oklahoma City Thunder,4.0,PF,35.0,6-10,200.0,Kansas,3750000.0,False,264.5
Kevin Durant,Oklahoma City Thunder,35.0,SF,27.0,6-9,200.0,Texas,20158622.0,False,440.0
Randy Foye,Oklahoma City Thunder,6.0,SG,32.0,6-4,200.0,Villanova,3135000.0,False,245.0
Josh Huestis,Oklahoma City Thunder,34.0,SF,24.0,6-7,200.0,Stanford,1140240.0,False,121.5
Serge Ibaka,Oklahoma City Thunder,9.0,PF,26.0,6-10,200.0,,12250000.0,False,394.0
Enes Kanter,Oklahoma City Thunder,11.0,C,24.0,6-11,200.0,Kentucky,16407500.0,False,425.0
Mitch McGary,Oklahoma City Thunder,33.0,PF,24.0,6-10,200.0,Michigan,1463040.0,False,155.0
Nazr Mohammed,Oklahoma City Thunder,13.0,C,38.0,6-10,200.0,Kentucky,222888.0,False,17.0
Anthony Morrow,Oklahoma City Thunder,2.0,SG,30.0,6-5,200.0,Georgia Tech,3344000.0,False,251.0
Cameron Payne,Oklahoma City Thunder,22.0,PG,21.0,6-3,185.0,Murray State,2021520.0,False,183.0
Andre Roberson,Oklahoma City Thunder,21.0,SG,24.0,6-7,200.0,Colorado,1210800.0,False,135.0
Kyle Singler,Oklahoma City Thunder,5.0,SF,28.0,6-8,200.0,Duke,4500000.0,False,290.5
Dion Waiters,Oklahoma City Thunder,3.0,SG,24.0,6-4,200.0,Syracuse,5138430.0,False,306.0
Russell Westbrook,Oklahoma City Thunder,0.0,PG,27.0,6-3,200.0,UCLA,16744218.0,False,429.0
Cliff Alexander,Portland Trail Blazers,34.0,PF,20.0,6-8,200.0,Kansas,525093.0,False,32.0
Al-Farouq Aminu,Portland Trail Blazers,8.0,SF,25.0,6-9,200.0,Wake Forest,8042895.0,False,357.0
Pat Connaughton,Portland Trail Blazers,5.0,SG,23.0,6-5,200.0,Notre Dame,625093.0,False,41.0
Allen Crabbe,Portland Trail Blazers,23.0,SG,24.0,6-6,200.0,California,947276.0,False,80.0
Ed Davis,Portland Trail Blazers,17.0,C,27.0,6-10,200.0,North Carolina,6980802.0,False,339.0
Maurice Harkless,Portland Trail Blazers,4.0,SF,23.0,6-9,200.0,St. John's,2894059.0,False,231.0
Gerald Henderson,Portland Trail Blazers,9.0,SG,28.0,6-5,200.0,Duke,6000000.0,False,326.0
Chris Kaman,Portland Trail Blazers,35.0,C,34.0,7-0,200.0,Central Michigan,5016000.0,False,304.0
Meyers Leonard,Portland Trail Blazers,11.0,PF,24.0,7-1,200.0,Illinois,3075880.0,False,241.0
Damian Lillard,Portland Trail Blazers,0.0,PG,25.0,6-3,195.0,Weber State,4236287.0,False,283.0
C.J. McCollum,Portland Trail Blazers,3.0,SG,24.0,6-4,200.0,Lehigh,2525160.0,False,213.0
Luis Montero,Portland Trail Blazers,44.0,SG,23.0,6-7,185.0,Westchester CC,525093.0,False,32.0
Mason Plumlee,Portland Trail Blazers,24.0,C,26.0,6-11,200.0,Duke,1415520.0,False,152.0
Brian Roberts,Portland Trail Blazers,2.0,PG,30.0,6-1,173.0,Dayton,2854940.0,False,227.0
Noah Vonleh,Portland Trail Blazers,21.0,PF,20.0,6-9,200.0,Indiana,2637720.0,False,217.0
Trevor Booker,Utah Jazz,33.0,PF,28.0,6-8,200.0,Clemson,4775000.0,False,296.0
Trey Burke,Utah Jazz,3.0,PG,23.0,6-1,191.0,Michigan,2658240.0,False,218.0
Alec Burks,Utah Jazz,10.0,SG,24.0,6-6,200.0,Colorado,9463484.0,False,369.0
Dante Exum,Utah Jazz,11.0,PG,20.0,6-6,190.0,,3777720.0,False,266.0
Derrick Favors,Utah Jazz,15.0,PF,24.0,6-10,200.0,Georgia Tech,12000000.0,False,390.0
Rudy Gobert,Utah Jazz,27.0,C,23.0,7-1,200.0,,1175880.0,False,132.0
Gordon Hayward,Utah Jazz,20.0,SF,26.0,6-8,200.0,Butler,15409570.0,False,415.0
Rodney Hood,Utah Jazz,5.0,SG,23.0,6-8,200.0,Duke,1348440.0,False,148.0
Joe Ingles,Utah Jazz,2.0,SF,28.0,6-8,200.0,,2050000.0,False,185.0
Chris Johnson,Utah Jazz,23.0,SF,26.0,6-6,200.0,Dayton,981348.0,False,99.5
Trey Lyles,Utah Jazz,41.0,PF,20.0,6-10,200.0,Kentucky,2239800.0,False,197.0
Shelvin Mack,Utah Jazz,8.0,PG,26.0,6-3,200.0,Butler,2433333.0,False,206.0
Raul Neto,Utah Jazz,25.0,PG,24.0,6-1,179.0,,900000.0,False,64.0
Tibor Pleiss,Utah Jazz,21.0,C,26.0,7-3,200.0,,2900000.0,False,232.5
Jeff Withey,Utah Jazz,24.0,C,26.0,7-0,200.0,Kansas,947276.0,False,80.0
